x,y,z
373464.22,4142291.5,1306.94
373473.2,4142214.2,1280.99
373485.03,4142141.5,1280.56
373473.9,4142199.8,1279.2
373464.06,4142278.0,1302.32
373456.56,4142351.0,1337.84
373447.16,4142423.2,1363.4
373429.16,4142509.8,1353.46
373440.34,4142455.8,1362.93
373454.56,4142376.8,1361.04
373459.06,4142309.0,1312.46
373468.03,4142232.8,1285.96
373480.1,4142153.0,1278.55
373472.6,4142190.8,1278.9
373462.1,4142269.2,1298.68
373454.03,4142343.2,1331.9
373445.75,4142414.2,1363.41
373428.2,4142499.5,1355.16
373435.62,4142463.8,1362.88
373450.44,4142384.0,1362.67
373455.12,4142316.8,1314.81
373464.2,4142240.8,1288.23
373475.97,4142161.5,1278.26
373473.03,4142171.0,1278.4
373461.38,4142250.5,1291.36
373452.25,4142326.2,1319.69
373446.2,4142395.2,1362.98
373430.2,4142476.8,1360.35
373427.2,4142487.2,1357.53
373443.44,4142405.8,1363.2
373450.34,4142336.8,1326.49
373458.6,4142262.5,1295.23
373469.5,4142184.0,1278.92
373473.16,4142154.0,1278.53
373460.47,4142233.8,1285.45
373450.66,4142310.8,1310.56
373445.8,4142378.8,1360.6
373431.16,4142457.5,1363.15
373418.88,4142507.8,1349.37
373437.62,4142420.8,1363.72
373446.25,4142350.0,1334.72
373453.7,4142277.2,1298.93
373464.22,4142199.2,1279.71
373472.16,4142143.2,1278.33
373458.94,4142222.5,1281.16
373448.9,4142300.0,1305.66
373442.62,4142370.5,1349.5
373430.3,4142446.0,1363.17
373413.16,4142520.2,1348.54
373432.62,4142431.2,1363.62
373442.66,4142358.5,1340.87
373449.38,4142287.2,1300.85
373459.8,4142209.2,1280.34
373471.94,4142134.8,1277.35
373458.62,4142207.2,1280.25
373447.72,4142285.8,1299.79
373440.56,4142358.0,1339.59
373430.44,4142430.5,1363.7
373410.84,4142518.5,1348.44
373425.22,4142451.0,1359.62
373438.47,4142374.2,1351.42
373444.16,4142305.2,1306.28
373454.12,4142228.0,1282.61
373467.12,4142148.5,1278.48
373459.3,4142186.5,1278.88
373447.53,4142265.5,1293.26
373438.88,4142340.0,1325.87
373431.56,4142409.5,1364.07
373412.3,4142496.2,1348.71
373417.3,4142472.0,1353.71
373434.56,4142389.2,1363.34
373439.4,4142322.5,1314.46
373448.8,4142246.5,1287.53
373461.22,4142167.2,1278.95
373460.66,4142162.5,1278.76
373447.8,4142242.2,1286.26
373437.8,4142318.8,1311.87
373432.62,4142386.8,1361.4
373415.16,4142469.8,1352.5
373408.2,4142499.8,1348.46
373427.4,4142412.5,1364.05
373434.5,4142345.2,1328.19
373442.5,4142271.5,1293.58
373454.06,4142192.8,1279.07
373462.47,4142137.2,1280.5
